"","city","date","review_count","day"
"1","charlotte","2007-01-12",1,"Friday"
"2","charlotte","2007-01-14",1,"Sunday"
"3","charlotte","2007-01-18",1,"Thursday"
"4","charlotte","2007-01-23",1,"Tuesday"
"5","charlotte","2007-01-25",3,"Thursday"
"6","charlotte","2007-01-26",1,"Friday"
"7","charlotte","2007-01-28",1,"Sunday"
"8","charlotte","2007-02-01",1,"Thursday"
"9","charlotte","2007-02-05",2,"Monday"
"10","charlotte","2007-02-06",2,"Tuesday"
"11","charlotte","2007-02-10",1,"Saturday"
"12","charlotte","2007-02-17",1,"Saturday"
"13","charlotte","2007-02-19",6,"Monday"
"14","charlotte","2007-02-23",1,"Friday"
"15","charlotte","2007-02-28",2,"Wednesday"
"16","charlotte","2007-03-05",2,"Monday"
"17","charlotte","2007-03-09",2,"Friday"
"18","charlotte","2007-03-11",1,"Sunday"
"19","charlotte","2007-03-12",1,"Monday"
"20","charlotte","2007-03-23",1,"Friday"
"21","charlotte","2007-03-26",4,"Monday"
"22","charlotte","2007-03-27",1,"Tuesday"
"23","charlotte","2007-03-30",1,"Friday"
"24","charlotte","2007-04-08",2,"Sunday"
"25","charlotte","2007-04-11",1,"Wednesday"
"26","charlotte","2007-04-13",1,"Friday"
"27","charlotte","2007-04-14",2,"Saturday"
"28","charlotte","2007-04-18",1,"Wednesday"
"29","charlotte","2007-04-19",2,"Thursday"
"30","charlotte","2007-04-27",1,"Friday"
"31","charlotte","2007-04-28",2,"Saturday"
"32","charlotte","2007-05-01",1,"Tuesday"
"33","charlotte","2007-05-07",1,"Monday"
"34","charlotte","2007-05-08",1,"Tuesday"
"35","charlotte","2007-05-09",2,"Wednesday"
"36","charlotte","2007-05-10",1,"Thursday"
"37","charlotte","2007-05-11",2,"Friday"
"38","charlotte","2007-05-12",1,"Saturday"
"39","charlotte","2007-05-18",1,"Friday"
"40","charlotte","2007-05-20",1,"Sunday"
"41","charlotte","2007-05-24",4,"Thursday"
"42","charlotte","2007-05-26",3,"Saturday"
"43","charlotte","2007-05-28",1,"Monday"
"44","charlotte","2007-05-29",2,"Tuesday"
"45","charlotte","2007-06-06",1,"Wednesday"
"46","charlotte","2007-06-07",3,"Thursday"
"47","charlotte","2007-06-08",7,"Friday"
"48","charlotte","2007-06-13",2,"Wednesday"
"49","charlotte","2007-06-20",1,"Wednesday"
"50","charlotte","2007-06-22",2,"Friday"
"51","charlotte","2007-06-26",1,"Tuesday"
"52","charlotte","2007-06-28",1,"Thursday"
"53","charlotte","2007-06-30",3,"Saturday"
"54","charlotte","2007-07-02",2,"Monday"
"55","charlotte","2007-07-05",1,"Thursday"
"56","charlotte","2007-07-06",1,"Friday"
"57","charlotte","2007-07-09",2,"Monday"
"58","charlotte","2007-07-11",1,"Wednesday"
"59","charlotte","2007-07-16",1,"Monday"
"60","charlotte","2007-07-17",1,"Tuesday"
"61","charlotte","2007-07-18",1,"Wednesday"
"62","charlotte","2007-07-21",1,"Saturday"
"63","charlotte","2007-07-25",9,"Wednesday"
"64","charlotte","2007-07-26",2,"Thursday"
"65","charlotte","2007-07-27",1,"Friday"
"66","charlotte","2007-07-30",3,"Monday"
"67","charlotte","2007-07-31",4,"Tuesday"
"68","charlotte","2007-08-06",9,"Monday"
"69","charlotte","2007-08-08",3,"Wednesday"
"70","charlotte","2007-08-13",2,"Monday"
"71","charlotte","2007-08-16",24,"Thursday"
"72","charlotte","2007-08-17",4,"Friday"
"73","charlotte","2007-08-20",2,"Monday"
"74","charlotte","2007-08-21",6,"Tuesday"
"75","charlotte","2007-08-22",3,"Wednesday"
"76","charlotte","2007-08-25",1,"Saturday"
"77","charlotte","2007-08-29",1,"Wednesday"
"78","charlotte","2007-08-31",1,"Friday"
"79","charlotte","2007-09-07",1,"Friday"
"80","charlotte","2007-09-08",2,"Saturday"
"81","charlotte","2007-09-09",2,"Sunday"
"82","charlotte","2007-09-13",1,"Thursday"
"83","charlotte","2007-09-17",2,"Monday"
"84","charlotte","2007-09-18",1,"Tuesday"
"85","charlotte","2007-09-19",2,"Wednesday"
"86","charlotte","2007-09-23",3,"Sunday"
"87","charlotte","2007-09-24",4,"Monday"
"88","charlotte","2007-09-25",4,"Tuesday"
"89","charlotte","2007-09-26",3,"Wednesday"
"90","charlotte","2007-09-27",6,"Thursday"
"91","charlotte","2007-09-29",2,"Saturday"
"92","charlotte","2007-09-30",2,"Sunday"
"93","charlotte","2007-10-04",1,"Thursday"
"94","charlotte","2007-10-06",4,"Saturday"
"95","charlotte","2007-10-11",1,"Thursday"
"96","charlotte","2007-10-12",1,"Friday"
"97","charlotte","2007-10-16",1,"Tuesday"
"98","charlotte","2007-10-17",2,"Wednesday"
"99","charlotte","2007-10-18",2,"Thursday"
"100","charlotte","2007-10-19",1,"Friday"
"101","charlotte","2007-10-23",2,"Tuesday"
