,city,date,review_count,day,difference,normed_difference
1,charlotte,2007-12-01,1,Friday,-0.61642786,-0.381351915
2,charlotte,2007-14-01,1,Sunday,-0.613759374,-0.380328929
3,charlotte,2007-18-01,1,Thursday,-0.608659859,-0.378364547
4,charlotte,2007-23-01,1,Tuesday,-0.602730695,-0.376064861
5,charlotte,2007-25-01,3,Thursday,1.399502454,0.874417119
6,charlotte,2007-26-01,1,Friday,-0.599410654,-0.374769702
7,charlotte,2007-28-01,1,Sunday,-0.597296232,-0.373942053
8,charlotte,2007-01-02,1,Thursday,-0.593304846,-0.372373716
9,charlotte,2007-05-02,2,Monday,0.410369932,0.258154359
10,charlotte,2007-06-02,2,Tuesday,0.411239156,0.258842706
11,charlotte,2007-10-02,1,Saturday,-0.585481826,-0.369276908
12,charlotte,2007-17-02,1,Saturday,-0.580505384,-0.367290988
13,charlotte,2007-19-02,6,Monday,4.420738365,2.799243815
14,charlotte,2007-23-02,1,Friday,-0.577011594,-0.365889253
15,charlotte,2007-28-02,2,Wednesday,0.425355727,0.270128139
16,charlotte,2007-05-03,2,Monday,0.427228347,0.271640417
17,charlotte,2007-09-03,2,Friday,0.428370259,0.272564363
18,charlotte,2007-11-03,1,Sunday,-0.571177513,-0.363534679
19,charlotte,2007-12-03,1,Monday,-0.570981081,-0.363455097
20,charlotte,2007-23-03,1,Friday,-0.570126339,-0.363108576
21,charlotte,2007-26-03,4,Monday,2.429691225,1.547269723
22,charlotte,2007-27-03,1,Tuesday,-0.570409164,-0.363223278
23,charlotte,2007-30-03,1,Friday,-0.570829057,-0.363393492
24,charlotte,2007-08-04,2,Sunday,0.426842712,0.271328694
25,charlotte,2007-11-04,1,Wednesday,-0.57428955,-0.364792836
26,charlotte,2007-13-04,1,Friday,-0.575143331,-0.36513714
27,charlotte,2007-14-04,2,Saturday,0.424400097,0.269357783
28,charlotte,2007-18-04,1,Wednesday,-0.577624074,-0.366135433
29,charlotte,2007-19-04,2,Thursday,0.421820414,0.267282898
30,charlotte,2007-27-04,1,Friday,-0.583336056,-0.368422139
31,charlotte,2007-28-04,2,Saturday,0.415930339,0.262570738
32,charlotte,2007-01-05,1,Tuesday,-0.586389203,-0.369637666
33,charlotte,2007-07-05,1,Monday,-0.591562564,-0.371686654
34,charlotte,2007-08-05,1,Tuesday,-0.592494049,-0.372054168
35,charlotte,2007-09-05,2,Wednesday,0.406554678,0.255141907
36,charlotte,2007-10-05,1,Thursday,-0.594416383,-0.372811262
37,charlotte,2007-11-05,2,Friday,0.404592768,0.253598429
38,charlotte,2007-12-05,1,Saturday,-0.596417869,-0.37359759
39,charlotte,2007-18-05,1,Friday,-0.602897239,-0.376129689
40,charlotte,2007-20-05,1,Sunday,-0.605215334,-0.377030621
41,charlotte,2007-24-05,4,Thursday,2.389911022,1.484334751
42,charlotte,2007-26-05,3,Saturday,1.387355472,0.860298378
43,charlotte,2007-28-05,1,Monday,-0.615279231,-0.380911993
44,charlotte,2007-29-05,2,Tuesday,0.383373736,0.23714432
