city,date,PRCP,SNOW,TMAX,TMIN
charlotte,2004-01-01,0.01,0,29,59
charlotte,2004-01-02,0,0,32,61
charlotte,2004-01-03,0,0,38,67
charlotte,2004-01-04,0,0,49,70
charlotte,2004-01-05,0.08,0,50,72
charlotte,2004-01-06,0.08,0,44,64
charlotte,2004-01-07,0.08,0,30,53
charlotte,2004-01-08,0,0,22,43
charlotte,2004-01-09,0.03,0.1,24,40
charlotte,2004-01-10,0.03,0.1,25,38
charlotte,2004-01-11,0.03,0.1,23,38
charlotte,2004-01-12,0,0,24,45
charlotte,2004-01-13,0,0,27,53
charlotte,2004-01-14,0,0,30,58
charlotte,2004-01-15,0,0,30,57
charlotte,2004-01-16,0,0,30,54
charlotte,2004-01-17,0.02,0,31,53
charlotte,2004-01-18,0.08,0,33,52
charlotte,2004-01-19,0.08,0,32,50
charlotte,2004-01-20,0.06,0,28,46
charlotte,2004-01-21,0,0,23,44
charlotte,2004-01-22,0,0,21,48
charlotte,2004-01-23,0,0,21,50
charlotte,2004-01-24,0,0,25,56
charlotte,2004-01-25,0.11,0.33,25,53
charlotte,2004-01-26,0.11,0.33,25,46
charlotte,2004-01-27,0.11,0.33,22,36
charlotte,2004-01-28,0,0,23,34
charlotte,2004-01-29,0,0,23,43
charlotte,2004-01-30,0,0,25,50
charlotte,2004-01-31,0,0,25,51
charlotte,2004-02-01,0,0,26,49
charlotte,2004-02-02,0.09,0,23,45
charlotte,2004-02-03,0.17,0,26,44
charlotte,2004-02-04,0.17,0,26,46
charlotte,2004-02-05,0.1,0,28,45
charlotte,2004-02-06,0.43,0,29,45
charlotte,2004-02-07,0.43,0,31,46
charlotte,2004-02-08,0.42,0,29,47
charlotte,2004-02-09,0,0,27,47
charlotte,2004-02-10,0,0,27,46
charlotte,2004-02-11,0,0,31,49
charlotte,2004-02-12,0.15,0,32,50
charlotte,2004-02-13,0.15,0,31,52
charlotte,2004-02-14,0.2,0,33,50
charlotte,2004-02-15,0.09,0,33,50
charlotte,2004-02-16,0.09,0,34,45
charlotte,2004-02-17,0.05,0,30,43
charlotte,2004-02-18,0,0,27,46
charlotte,2004-02-19,0,0,25,54
charlotte,2004-02-20,0,0,27,62
charlotte,2004-02-21,0,0,32,65
charlotte,2004-02-22,0,0,34,63
charlotte,2004-02-23,0.01,0,34,59
charlotte,2004-02-24,0.01,0,35,56
charlotte,2004-02-25,0.01,0,38,54
charlotte,2004-02-26,0.28,3.87,37,50
charlotte,2004-02-27,0.32,4.4,31,44
charlotte,2004-02-28,0.32,4.4,26,46
charlotte,2004-02-29,0.04,0.53,24,51
charlotte,2004-03-01,0,0,26,59
charlotte,2004-03-02,0,0,36,65
charlotte,2004-03-03,0,0,45,70
charlotte,2004-03-04,0,0,53,76
charlotte,2004-03-05,0,0,54,77
charlotte,2004-03-06,0,0,57,77
charlotte,2004-03-07,0,0,53,75
charlotte,2004-03-08,0,0,47,68
charlotte,2004-03-09,0.02,0,38,60
charlotte,2004-03-10,0.02,0,33,52
charlotte,2004-03-11,0.02,0,28,55
charlotte,2004-03-12,0,0,30,61
charlotte,2004-03-13,0,0,34,64
charlotte,2004-03-14,0,0,39,65
charlotte,2004-03-15,0.05,0,44,64
charlotte,2004-03-16,0.07,0,48,67
charlotte,2004-03-17,0.07,0,48,65
charlotte,2004-03-18,0.06,0,43,63
charlotte,2004-03-19,0.04,0,39,62
charlotte,2004-03-20,0.08,0,39,65
charlotte,2004-03-21,0.04,0,38,68
charlotte,2004-03-22,0.04,0,34,61
charlotte,2004-03-23,0,0,28,56
charlotte,2004-03-24,0,0,27,57
charlotte,2004-03-25,0,0,31,64
charlotte,2004-03-26,0,0,38,72
charlotte,2004-03-27,0,0,44,76
charlotte,2004-03-28,0,0,50,78
charlotte,2004-03-29,0,0,50,76
charlotte,2004-03-30,0.06,0,49,67
charlotte,2004-03-31,0.37,0,44,61
charlotte,2004-04-01,0.37,0,42,59
charlotte,2004-04-02,0.31,0,40,60
charlotte,2004-04-03,0,0,38,63
charlotte,2004-04-04,0,0,37,63
charlotte,2004-04-05,0,0,34,64
charlotte,2004-04-06,0,0,33,64
charlotte,2004-04-07,0,0,34,70
charlotte,2004-04-08,0,0,40,73
charlotte,2004-04-09,0,0,46,75
charlotte,2004-04-10,0,0,49,74
charlotte,2004-04-11,0.05,0,49,74
charlotte,2004-04-12,0.18,0,49,66
charlotte,2004-04-13,0.38,0,47,64
charlotte,2004-04-14,0.33,0,43,60
charlotte,2004-04-15,0.19,0,40,67
charlotte,2004-04-16,0,0,39,69
charlotte,2004-04-17,0,0,41,77
charlotte,2004-04-18,0,0,46,81
charlotte,2004-04-19,0,0,50,84
charlotte,2004-04-20,0,0,53,84
charlotte,2004-04-21,0,0,55,83
charlotte,2004-04-22,0,0,55,82
charlotte,2004-04-23,0,0,56,83
charlotte,2004-04-24,0,0,56,84
charlotte,2004-04-25,0,0,59,84
charlotte,2004-04-26,0.05,0,58,78
charlotte,2004-04-27,0.05,0,53,73
charlotte,2004-04-28,0.05,0,44,69
charlotte,2004-04-29,0,0,40,72
charlotte,2004-04-30,0.02,0,44,75
charlotte,2004-05-01,0.15,0,53,77
charlotte,2004-05-02,0.61,0,59,78
charlotte,2004-05-03,0.61,0,55,74
charlotte,2004-05-04,0.47,0,46,70
charlotte,2004-05-05,0.02,0,41,70
charlotte,2004-05-06,0,0,45,76
charlotte,2004-05-07,0,0,51,83
charlotte,2004-05-08,0,0,56,86
charlotte,2004-05-09,0.02,0,59,87
charlotte,2004-05-10,0.02,0,61,85
charlotte,2004-05-11,0.02,0,60,84
charlotte,2004-05-12,0.03,0,60,82
charlotte,2004-05-13,0.03,0,60,81
charlotte,2004-05-14,0.03,0,62,80
