STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
CHARLOTTE,20040101,0,0,64,26
CHARLOTTE,20040102,0,0,63,43
CHARLOTTE,20040103,0,0,74,44
CHARLOTTE,20040104,0,0,72,59
CHARLOTTE,20040105,0.25,0,71,48
CHARLOTTE,20040106,0,0,48,26
CHARLOTTE,20040107,0,0,40,17
CHARLOTTE,20040108,0,0,41,23
CHARLOTTE,20040109,0.08,0.3,38,31
CHARLOTTE,20040110,0,0,36,21
CHARLOTTE,20040111,0,0,39,18
CHARLOTTE,20040112,0,0,60,34
CHARLOTTE,20040113,0,0,60,28
CHARLOTTE,20040114,0,0,55,27
CHARLOTTE,20040115,0,0,55,35
CHARLOTTE,20040116,0,0,53,27
CHARLOTTE,20040117,0.06,0,51,31
CHARLOTTE,20040118,0.19,0,53,40
CHARLOTTE,20040119,0,0,46,25
CHARLOTTE,20040120,0,0,40,19
CHARLOTTE,20040121,0,0,47,24
CHARLOTTE,20040122,0,0,57,20
CHARLOTTE,20040123,0,0,47,20
CHARLOTTE,20040124,0,0,63,36
CHARLOTTE,20040125,0.34,1,48,20
CHARLOTTE,20040126,0,0,26,20
CHARLOTTE,20040127,0,0,33,26
CHARLOTTE,20040128,0,0,43,22
CHARLOTTE,20040129,0,0,52,21
CHARLOTTE,20040130,0,0,55,33
CHARLOTTE,20040131,0,0,45,21
CHARLOTTE,20040201,0,0,47,24
CHARLOTTE,20040202,0.26,0,42,24
CHARLOTTE,20040203,0.26,0,44,30
CHARLOTTE,20040204,0,0,51,24
CHARLOTTE,20040205,0.04,0,41,31
CHARLOTTE,20040206,1.26,0,44,33
CHARLOTTE,20040207,0,0,52,30
CHARLOTTE,20040208,0,0,45,24
CHARLOTTE,20040209,0,0,43,28
CHARLOTTE,20040210,0,0,51,29
CHARLOTTE,20040211,0,0,53,35
CHARLOTTE,20040212,0.46,0,46,31
CHARLOTTE,20040213,0,0,57,26
CHARLOTTE,20040214,0.14,0,48,41
CHARLOTTE,20040215,0.14,0,46,33
CHARLOTTE,20040216,0,0,41,29
CHARLOTTE,20040217,0,0,41,28
CHARLOTTE,20040218,0,0,56,23
CHARLOTTE,20040219,0,0,65,23
CHARLOTTE,20040220,0,0,65,34
CHARLOTTE,20040221,0,0,65,38
CHARLOTTE,20040222,0,0,59,30
CHARLOTTE,20040223,0.03,0,52,33
CHARLOTTE,20040224,0,0,58,42
CHARLOTTE,20040225,0,0,51,39
CHARLOTTE,20040226,0.85,11.6,42,29
CHARLOTTE,20040227,0.11,1.6,39,26
CHARLOTTE,20040228,0,0,56,22
CHARLOTTE,20040229,0,0,57,23
CHARLOTTE,20040301,0,0,65,32
CHARLOTTE,20040302,0,0,72,54
CHARLOTTE,20040303,0,0,74,49
CHARLOTTE,20040304,0,0,81,55
CHARLOTTE,20040305,0,0,77,58
CHARLOTTE,20040306,0.01,0,74,57
CHARLOTTE,20040307,0,0,73,44
